Categoria,Nombre_Imagen,Picos_Horizontal_Original,Picos_Vertical_Original,Picos_Horizontal_Rotado,Prediccion
div,_100052.jpg,0,0,0,div
div,_100601.jpg,0,0,0,div
div,_101042.jpg,0,0,0,div
div,_101724.jpg,0,1,0,Desconocido
div,_102081.jpg,0,0,0,div
div,_102995.jpg,0,0,0,div
div,_103114.jpg,0,0,0,div
div,_1033.jpg,0,0,0,div
div,_104049.jpg,0,0,0,div
div,_105116.jpg,0,0,0,div
div,_105453.jpg,0,2,0,Desconocido
div,_105461.jpg,0,0,0,div
div,_107014.jpg,0,0,0,div
div,_107022.jpg,0,0,0,div
div,_107098.jpg,0,0,0,div
div,_107106.jpg,0,0,0,div
div,_107566.jpg,0,0,0,div
div,_107574.jpg,0,0,0,div
div,_107682.jpg,0,0,0,div
div,_107690.jpg,0,0,0,div
div,_108991.jpg,0,0,0,div
div,_108999.jpg,0,2,0,Desconocido
div,_109749.jpg,0,0,0,div
div,_109757.jpg,0,0,0,div
div,_109819.jpg,0,0,0,div
div,_109827.jpg,0,0,0,div
div,_109930.jpg,0,0,0,div
div,_109938.jpg,0,0,0,div
div,_110851.jpg,0,0,0,div
div,_110859.jpg,0,0,0,div
div,_111044.jpg,0,0,0,div
div,_111052.jpg,0,0,0,div
div,_111566.jpg,0,0,0,div
div,_111718.jpg,0,0,0,div
div,_111726.jpg,0,0,0,div
div,_111977.jpg,0,1,0,Desconocido
div,_112485.jpg,0,0,0,div
div,_112543.jpg,0,1,0,Desconocido
div,_112551.jpg,0,0,0,div
div,_112695.jpg,0,0,8,div
div,_113227.jpg,0,0,0,div
div,_113443.jpg,0,0,0,div
div,_113656.jpg,0,0,0,div
div,_38447.jpg,0,1,0,Desconocido
div,_39003.jpg,0,0,0,div
div,_39005.jpg,0,0,0,div
div,_39042.jpg,0,0,0,div
div,_39160.jpg,0,0,0,div
div,_39162.jpg,0,0,0,div
div,_39295.jpg,0,0,0,div
div,_39801.jpg,0,1,0,Desconocido
div,_39848.jpg,0,0,0,div
div,_40205.jpg,0,0,0,div
div,_40220.jpg,0,0,0,div
div,_40603.jpg,0,0,0,div
div,_40831.jpg,0,0,0,div
div,_40836.jpg,0,0,0,div
div,_40870.jpg,0,0,0,div
div,_40895.jpg,0,1,0,Desconocido
div,_41065.jpg,0,0,0,div
div,_41072.jpg,0,0,0,div
div,_41077.jpg,0,0,0,div
div,_41421.jpg,0,0,0,div
div,_41479.jpg,0,1,0,Desconocido
div,_41625.jpg,0,0,0,div
div,_41854.jpg,0,0,0,div
div,_42069.jpg,0,0,0,div
div,_42773.jpg,0,1,0,Desconocido
div,_42774.jpg,0,1,0,Desconocido
div,_43244.jpg,0,2,0,Desconocido
div,_43472.jpg,0,2,0,Desconocido
div,_43533.jpg,0,1,0,Desconocido
div,_43759.jpg,0,0,0,div
div,_43763.jpg,0,0,0,div
div,_44052.jpg,0,0,0,div
div,_44685.jpg,0,0,0,div
div,_44955.jpg,0,0,0,div
div,_44961.jpg,0,0,0,div
div,_44966.jpg,0,0,0,div
div,_45317.jpg,0,1,0,Desconocido
div,_45645.jpg,0,0,0,div
div,_45758.jpg,0,1,0,Desconocido
div,_46189.jpg,0,0,0,div
div,_46285.jpg,0,0,0,div
div,_46804.jpg,0,0,0,div
div,_46808.jpg,0,0,0,div
div,_47112.jpg,0,0,0,div
